Date/Time,3F-B-BED2:Zone Air Temperature [C](Hourly),3F-B-BED2 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),3F-B-BED2 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Energy [J](Hourly),3F-B-BED2 BEDROOM-B:Zone Thermal Comfort Fanger Model PMV [](Hourly) 
 11/30  03:00:00,17.406539157020786,0.0,0.0,-2.4548987906217696 
 11/30  04:00:00,17.357837052580299,0.0,0.0,-2.4656505552955085 
 11/30  05:00:00,17.317893737693426,0.0,0.0,-2.4741258143493147 
 11/30  06:00:00,17.28521116293412,0.0,0.0,-2.4824705064326149 
 11/30  07:00:00,17.263890265045686,0.0,0.0,-2.4882112265221729 
 11/30  08:00:00,17.24674037785259,0.0,0.0,-2.493996575222507 
 11/30  09:00:00,16.267741468947404,0.0,0.0,-2.6604711709641686 
 11/30  10:00:00,16.110833396469827,0.0,0.0,-2.743093086679582 
 11/30  11:00:00,16.155269688911333,0.0,0.0,-2.73903004130495 
 11/30  12:00:00,16.194722336317317,0.0,0.0,-2.7368391574179529 
 11/30  13:00:00,16.756605116031279,0.0,0.0,-2.663194827719471 
 11/30  14:00:00,17.896452586252776,0.0,0.0,-2.398062053300537 
 11/30  15:00:00,17.165610101012466,0.0,0.0,-2.460523542169807 
 11/30  16:00:00,17.17257941012572,0.0,0.0,-2.4869613676073034 
 11/30  17:00:00,17.104480493547695,0.0,0.0,-2.494798391305496 
 11/30  18:00:00,17.014923104446905,0.0,0.0,-2.5105595123499229 
 11/30  19:00:00,16.850012724310749,0.0,0.0,-2.5465355578984174 
 11/30  20:00:00,16.716668385311079,0.0,0.0,-2.578880319058277 
 11/30  21:00:00,16.607003927188236,0.0,0.0,-2.605835282112752 
 11/30  22:00:00,16.527228804616429,0.0,0.0,-2.625524357711346 
 11/30  23:00:00,17.696323103371396,0.0,0.0,-2.4349204989210064 
 11/30  24:00:00,18.079250788478036,0.0,0.0,-2.296145587172591 
 12/01  01:00:00,18.031311220210193,0.0,0.0,-1.0589254646065006 
 12/01  02:00:00,18.059040720682345,0.0,0.0,-1.0459763296220149 
 12/01  03:00:00,18.109466323340347,0.0,0.0,-1.027648157257268 
 12/01  04:00:00,18.154515679243479,0.0,0.0,-1.0094251631882217 
 12/01  05:00:00,18.18448500522535,0.0,0.0,-0.9956636426561335 
 12/01  06:00:00,18.203514251883705,0.0,0.0,-0.9847106578185104 
 12/01  07:00:00,18.193850912984119,0.0,0.0,-0.9827184469658562 
 12/01  08:00:00,18.14585495111093,0.0,0.0,-0.9910849993740755 
 12/01  09:00:00,16.92505097795083,0.0,0.0,-1.1425997734828773 
 12/01  10:00:00,16.503484267629326,0.0,0.0,-1.2623851688367496 
 12/01  11:00:00,16.434908549564779,0.0,0.0,-1.2917077799313309 
 12/01  12:00:00,16.400951201362333,0.0,0.0,-1.306378331878917 
 12/01  13:00:00,17.304875745627439,314763.08315170326,0.0,-1.2134436263295592 
 12/01  14:00:00,18.000908595704286,61494.418377298374,0.0,-1.0553227582676024 
 12/01  15:00:00,16.773625227530535,0.0,0.0,-1.1916669707771853 
 12/01  16:00:00,16.428109589494509,0.0,0.0,-1.2916470707406907 
 12/01  17:00:00,16.39730305136803,0.0,0.0,-1.303614854906472 
 12/01  18:00:00,16.360508946540489,0.0,0.0,-1.3155518705421876 
 12/01  19:00:00,16.332007126171495,0.0,0.0,-1.3264136387068948 
